id;creation_date;title;image;image_content_type;appuser_id
1;2021-05-07T07:43:33;Persistent Avon Cambridgeshire;../fake-data/blob/hipster.png;image/png;1
2;2021-05-06T13:32:57;e-commerce disintermediate;../fake-data/blob/hipster.png;image/png;2
3;2021-05-06T20:24:46;payment;../fake-data/blob/hipster.png;image/png;1
4;2021-05-07T03:37:19;Producer;../fake-data/blob/hipster.png;image/png;1
5;2021-05-06T14:11:06;open-source;../fake-data/blob/hipster.png;image/png;1
6;2021-05-06T19:42:45;Martin Tuna;../fake-data/blob/hipster.png;image/png;2
7;2021-05-06T22:25:16;withdrawal Car;../fake-data/blob/hipster.png;image/png;2
8;2021-05-06T23:15:23;quantifying;../fake-data/blob/hipster.png;image/png;1
9;2021-05-06T15:01:24;Point repurpose Multi-layered;../fake-data/blob/hipster.png;image/png;2
10;2021-05-06T23:08:40;Balboa Plastic;../fake-data/blob/hipster.png;image/png;2
