id;creation_date;comment_text;is_offensive;appuser_id;post_id
1;2021-05-06T17:01:05;Arkansas purple;false;1;1
2;2021-05-07T05:08:31;magenta Senior Refined;false;2;2
3;2021-05-07T04:00:56;1080p programming;false;2;3
4;2021-05-06T23:43:15;COM;false;1;4
5;2021-05-07T02:19:15;green Manager indigo;true;2;5
6;2021-05-06T20:47:45;system Plastic Tanzanian;true;2;6
7;2021-05-06T18:31:23;morph killer;true;2;7
8;2021-05-07T07:23:56;e-business Garden;true;1;8
9;2021-05-06T14:01:30;Data Human synthesize;false;2;9
10;2021-05-06T13:44:06;Senior Creek;true;1;10
